#Companies are listed in decreasing order of the number of missing values in their life span
#<company>	<T1>	<T2>	<#observed in [T1, T2]>	<#missing in [T1, T2]>
202      1   9335   9335      0
204      1   5031   5031      0
205      1   2716   2716      0
207      1   6192   6192      0
208      1   9087   9087      0
209      1   9335   9335      0
211      1   9335   9335      0
213   1920   9335   7416      0
214      1   6184   6184      0
216      1   6019   6019      0
218      1   9335   9335      0
219      1   9335   9335      0
220      1   6085   6085      0
221      1   9335   9335      0
222      1   9335   9335      0
224      1   5426   5426      0
225      1   9335   9335      0
226      1   8305   8305      0
227      1   9335   9335      0
228      1   1263   1263      0
229      1   6298   6298      0
230      1   9335   9335      0
231      1   9335   9335      0
232      1   9335   9335      0
233      1   3470   3470      0
234      1   9335   9335      0
235      1   9335   9335      0
236      1   9061   9061      0
237      1   7636   7636      0
238      1   9335   9335      0
239      1   1643   1643      0
240      1   9335   9335      0
241      1   9335   9335      0
242      1   9211   9211      0
247      1   4777   4777      0
248      1   6122   6122      0
249      1   9335   9335      0
251      1   9335   9335      0
252      1   9335   9335      0
253      1   9335   9335      0
255      1   9335   9335      0
257      1   9335   9335      0
259      1   8255   8255      0
260      1   9335   9335      0
261      1   2369   2369      0
262      1   6587   6587      0
263      1   9335   9335      0
264      1   9133   9133      0
265      1   9335   9335      0
266      1   9335   9335      0
267      1   7988   7988      0
268      1   2609   2609      0
269      1   6466   6466      0
270      1   8020   8020      0
272      1   1763   1763      0
273      1   9335   9335      0
274      1   5981   5981      0
275      1   2082   2082      0
279      1   9335   9335      0
280      1   5244   5244      0
281      1   8541   8541      0
283      1   2335   2335      0
284      1   9335   9335      0
286      1   9335   9335      0
287      1   9335   9335      0
288   1948   9335   7388      0
290      1   9335   9335      0
291      1   9335   9335      0
292      1   4782   4782      0
293      1   1688   1688      0
295      1   7727   7727      0
296      1   9335   9335      0
300   2143   7108   4966      0
301      1   8937   8937      0
302      1   3429   3429      0
303      1   6509   6509      0
304      1   8032   8032      0
305      1   5296   5296      0
306      1   8210   8210      0
307      1   3427   3427      0
309      1   5456   5456      0
310      1   9335   9335      0
311      1   3277   3277      0
313      1   3793   3793      0
314   1792   4739   2948      0
315      1   3136   3136      0
316      1   5943   5943      0
317      1   9335   9335      0
318      1   9335   9335      0
319      1   3111   3111      0
320      1   9335   9335      0
321      1   9335   9335      0
323      1   4003   4003      0
324      1   9335   9335      0
325      1   9335   9335      0
327      1   9335   9335      0
329      1   3410   3410      0
330      1   9335   9335      0
331      1   9335   9335      0
333      1   9335   9335      0
335      1   9335   9335      0
336      1   6554   6554      0
337      1   9335   9335      0
338      1   9335   9335      0
339      1   2973   2973      0
344      1   5460   5460      0
346      1   8334   8334      0
347      1   8154   8154      0
348      1   9335   9335      0
349   1157   5733   4577      0
351      1   5692   5692      0
352      1   4680   4680      0
354      1   9335   9335      0
357   2021   9335   7315      0
358      1   5998   5998      0
360      1   5514   5514      0
361      1   9335   9335      0
363      1   4929   4929      0
365      1   9335   9335      0
369      1   9335   9335      0
370      1   2456   2456      0
372      1   3318   3318      0
373      1   9335   9335      0
377      1   9335   9335      0
378      1   9335   9335      0
379      1   9335   9335      0
382      1   8619   8619      0
384      1   3141   3141      0
385      1   3841   3841      0
386      1   9335   9335      0
388      1   8132   8132      0
390      1   9335   9335      0
391      1   3940   3940      0
392      1   3037   3037      0
393      1   9335   9335      0
394      1   9335   9335      0
395      1   4824   4824      0
396      1   9335   9335      0
397      1   9335   9335      0
398      1   4536   4536      0
403      1   9335   9335      0
404      1   9335   9335      0
406      1   9335   9335      0
407      1   6485   6485      0
408      1   9335   9335      0
409      1   9335   9335      0
411      1    941    941      0
412      1   9335   9335      0
413      1   3755   3755      0
414      1   6043   6043      0
415      1   2683   2683      0
416      1   2902   2902      0
417      1   9335   9335      0
419      1   9335   9335      0
420   1897   6700   4804      0
421      1   5622   5622      0
422      1   5673   5673      0
423      1   6489   6489      0
424      1   9335   9335      0
425      1   5459   5459      0
427      1   9335   9335      0
429   1331   7804   6474      0
430      1   9335   9335      0
433   1469   9335   7867      0
434      1   9335   9335      0
435      1   6539   6539      0
436      1   8506   8506      0
438      1   7611   7611      0
440      1   6339   6339      0
441      1   9335   9335      0
442      1   3468   3468      0
443      1   9335   9335      0
444      1   9335   9335      0
445      1   9335   9335      0
447      1   9335   9335      0
448   1207   9335   8129      0
449      1   9335   9335      0
451      1   4343   4343      0
452      1   5755   5755      0
453      1   3636   3636      0
455      1   6880   6880      0
456      1   9335   9335      0
458      1   4940   4940      0
462   1863   9335   7473      0
463      1   9071   9071      0
464      1   7636   7636      0
465   2110   9335   7226      0
466      1   9335   9335      0
467      1   8288   8288      0
468      1   2271   2271      0
470      1   9335   9335      0
471      1   9335   9335      0
472      1   9335   9335      0
474   2074   2648    575      0
475      1   9335   9335      0
476      1   9335   9335      0
477      1   5497   5497      0
478   1374   9335   7962      0
479      1   9335   9335      0
480      1   5773   5773      0
481   1964   4931   2968      0
485   1918   3731   1814      0
486      1   3073   3073      0
488    811   8818   8008      0
489      1   9335   9335      0
492      1   9017   9017      0
493      1   3338   3338      0
494      1   7927   7927      0
497      1   6002   6002      0
500      1   9335   9335      0
501      1   2444   2444      0
502      1   9335   9335      0
503      1   8329   8329      0
505      1   9335   9335      0
507      1   5474   5474      0
508   2129   9335   7207      0
512      1   9335   9335      0
513      1   9335   9335      0
514      1   9335   9335      0
515      1   9335   9335      0
516      1   9335   9335      0
517      1   3076   3076      0
518      1   7950   7950      0
520      1   9335   9335      0
521      1   6010   6010      0
522   1244   9335   8092      0
525      1   9335   9335      0
526      1   5842   5842      0
529      1   4885   4885      0
530      1   8337   8337      0
531      1   9335   9335      0
532      1   5750   5750      0
533     99   9335   9237      0
534      1   3441   3441      0
535      1   7111   7111      0
537      1   8299   8299      0
541      1   9335   9335      0
544      1   9335   9335      0
546      1   9335   9335      0
549      1   9335   9335      0
550    576   9335   8760      0
551      1   9335   9335      0
552      1   3057   3057      0
553      1   9335   9335      0
554    574   7461   6888      0
555      1   9335   9335      0
556      1   9335   9335      0
557      1   9335   9335      0
558      1   6295   6295      0
559      1   6492   6492      0
560   1012   5456   4445      0
563      1   9335   9335      0
564      1   9273   9273      0
565      1   9335   9335      0
568   1365   7684   6320      0
570      1   6003   6003      0
571      1   9335   9335      0
572   1406   2449   1044      0
577      1   9165   9165      0
578      1   9335   9335      0
580   1055   4780   3726      0
581      1   9335   9335      0
585   1880   6438   4559      0
586   1876   9335   7460      0
588      1   7194   7194      0
589   2056   6008   3953      0
590   2056   9335   7280      0
591   2056   7825   5770      0
593   2056   5466   3411      0
594   2056   5370   3315      0
595   2056   9335   7280      0
597   1447   9335   7889      0
602   2322   9335   7014      0
603   2376   9335   6960      0
604   2455   4940   2486      0
605   2485   8180   5696      0
606   2009   6651   4643      0
608   2528   5461   2934      0
609    282   9335   9054      0
611   1031   3292   2262      0
612   2584   9335   6752      0
616   2650   8050   5401      0
618   2702   9335   6634      0
619   2719   9335   6617      0
620   2758   3584    827      0
621   2755   9335   6581      0
622   2738   9335   6598      0
623   2840   5414   2575      0
625    865   7830   6966      0
626    586   9335   8750      0
628   2860   9335   6476      0
629   2877   5290   2414      0
632   2867   9335   6469      0
634   2964   9335   6372      0
635   2750   9335   6586      0
636   3028   9335   6308      0
637   1952   3707   1756      0
638   1147   9335   8189      0
639   3051   7274   4224      0
641   3139   6422   3284      0
642   3127   9335   6209      0
643   3165   7636   4472      0
644   3249   8957   5709      0
646   3246   5852   2607      0
647   3300   8070   4771      0
648   3304   6255   2952      0
649   3369   9335   5967      0
650   3355   6002   2648      0
651   2684   9335   6652      0
652   3139   9335   6197      0
653   3097   9335   6239      0
654   3393   9335   5943      0
655   3401   6489   3089      0
656   3408   9335   5928      0
657   3391   7614   4224      0
658   3431   9335   5905      0
659   3424   5931   2508      0
660   3321   4849   1529      0
662   3461   5422   1962      0
663   3479   9335   5857      0
664   3469   9335   5867      0
665   3509   8013   4505      0
666   3525   9335   5811      0
667   3556   9335   5780      0
668   3426   5498   2073      0
669   3573   9335   5763      0
670   3573   8383   4811      0
671   3567   9143   5577      0
672   3587   6233   2647      0
673   2079   8648   6570      0
674   3630   4844   1215      0
675   3652   9335   5684      0
677   3714   4044    331      0
678   3757   5862   2106      0
679      1    730    730      0
680   3818   9335   5518      0
681   3855   9335   5481      0
682   3855   9335   5481      0
683   3859   8005   4147      0
684   3866   9335   5470      0
685   3871   9335   5465      0
686   3872   9031   5160      0
687   3887   9335   5449      0
688   1924   9335   7412      0
689   3880   9335   5456      0
691   3881   7940   4060      0
