#<date in matlab serial format>	<date in the format dd mmm yyyy>	<time index>
722249	13 Jun 1977	366
722250	14 Jun 1977	367
722251	15 Jun 1977	368
722252	16 Jun 1977	369
722253	17 Jun 1977	370
722256	20 Jun 1977	371
722257	21 Jun 1977	372
722258	22 Jun 1977	373
722259	23 Jun 1977	374
722260	24 Jun 1977	375
722263	27 Jun 1977	376
722264	28 Jun 1977	377
722265	29 Jun 1977	378
722266	30 Jun 1977	379
722267	01 Jul 1977	380
722271	05 Jul 1977	381
722272	06 Jul 1977	382
722273	07 Jul 1977	383
722274	08 Jul 1977	384
722277	11 Jul 1977	385
722278	12 Jul 1977	386
722279	13 Jul 1977	387
722281	15 Jul 1977	388
722284	18 Jul 1977	389
722285	19 Jul 1977	390
722286	20 Jul 1977	391
722287	21 Jul 1977	392
722288	22 Jul 1977	393
722291	25 Jul 1977	394
722292	26 Jul 1977	395
722293	27 Jul 1977	396
722294	28 Jul 1977	397
722295	29 Jul 1977	398
722298	01 Aug 1977	399
722299	02 Aug 1977	400
722300	03 Aug 1977	401
722301	04 Aug 1977	402
722302	05 Aug 1977	403
722305	08 Aug 1977	404
722306	09 Aug 1977	405
722307	10 Aug 1977	406
722308	11 Aug 1977	407
722309	12 Aug 1977	408
722312	15 Aug 1977	409
722313	16 Aug 1977	410
722314	17 Aug 1977	411
722315	18 Aug 1977	412
722316	19 Aug 1977	413
722319	22 Aug 1977	414
722320	23 Aug 1977	415
722321	24 Aug 1977	416
722322	25 Aug 1977	417
722323	26 Aug 1977	418
722326	29 Aug 1977	419
722327	30 Aug 1977	420
722328	31 Aug 1977	421
722329	01 Sep 1977	422
722330	02 Sep 1977	423
722334	06 Sep 1977	424
722335	07 Sep 1977	425
722336	08 Sep 1977	426
722337	09 Sep 1977	427
722340	12 Sep 1977	428
722341	13 Sep 1977	429
722342	14 Sep 1977	430
722343	15 Sep 1977	431
722344	16 Sep 1977	432
722347	19 Sep 1977	433
722348	20 Sep 1977	434
722349	21 Sep 1977	435
722350	22 Sep 1977	436
722351	23 Sep 1977	437
722354	26 Sep 1977	438
722355	27 Sep 1977	439
722356	28 Sep 1977	440
722357	29 Sep 1977	441
722358	30 Sep 1977	442
722361	03 Oct 1977	443
722362	04 Oct 1977	444
722363	05 Oct 1977	445
722364	06 Oct 1977	446
722365	07 Oct 1977	447
722368	10 Oct 1977	448
722369	11 Oct 1977	449
722370	12 Oct 1977	450
722371	13 Oct 1977	451
722372	14 Oct 1977	452
722375	17 Oct 1977	453
722376	18 Oct 1977	454
